,item,similar_items
105,176209046,"[176209046, 176209023, 176209035, 176209033, 176209044]"
106,176550016,"[176550016, 176550020, 176550017, 176550021, 176550018]"
107,176550017,"[176550017, 176550016, 176550020, 176550018, 176550021]"
108,176550018,"[176550018, 176550021, 176550017, 176550016, 176550020]"
109,176550020,"[176550016, 176550020, 176550017, 176550021, 176550018]"
110,176550021,"[176550021, 176550018, 176550017, 176550016, 176550020]"
111,176754001,"[214844002, 214844008, 186262013, 478646001, 453453032]"
112,176754003,"[214844002, 214844008, 186262013, 478646001, 453453032]"
113,176754019,"[214844008, 214844002, 186262013, 478646001, 453453032]"
114,179123001,"[179123001, 179123040, 257667055, 189634001, 257667061]"
115,179123040,"[179123040, 179123001, 189634001, 203027047, 203027045]"
116,179208008,"[179208008, 436261001, 123173001, 324946001, 457466001]"
117,179393001,"[179393001, 190021003, 190021001, 179393018, 190021021]"
118,179393018,"[179393018, 372860024, 372860041, 372860043, 179393001]"
119,179950001,"[179950001, 179950017, 179950002, 183815013, 483597002]"
120,179950002,"[179950002, 179950001, 179950017, 183815013, 483597002]"
121,179950017,"[179950001, 179950017, 179950002, 183815013, 483597002]"
122,181160009,"[181160009, 482733006, 289834016, 349301011, 349301016]"
123,181448022,"[181448022, 181448105, 181448109, 400901004, 181448103]"
124,181448102,"[181448102, 181448103, 181448104, 181448106, 181448109]"
125,181448103,"[181448103, 181448102, 181448104, 181448106, 181448022]"
126,181448104,"[181448104, 181448102, 181448103, 181448106, 181448109]"
127,181448105,"[181448105, 181448022, 181448109, 400901005, 400901004]"
128,181448106,"[181448106, 181448103, 181448102, 181448109, 181448104]"
129,181448109,"[181448109, 181448105, 181448022, 181448106, 181448102]"
130,182909001,"[182909001, 194037001, 305931001, 194037002, 373493008]"
131,183815013,"[183815013, 483597002, 483597003, 179950001, 179950017]"
132,184121021,"[485548022, 485548007, 485548021, 485548001, 485539028]"
133,184123020,"[184123020, 377289002, 456834013, 456834011, 456834015]"
134,184583014,"[184583014, 372576011, 372576017, 372576013, 372576016]"
135,186262001,"[186262013, 214844002, 214844008, 478646001, 453453032]"
136,186262006,"[214844002, 186262013, 214844008, 478646001, 453453032]"
137,186262007,"[214844008, 214844002, 186262013, 478646001, 453453032]"
138,186262013,"[186262013, 214844002, 214844008, 478646001, 453453032]"
139,186264014,"[214844002, 214844008, 186262013, 478646001, 453453032]"
140,186264015,"[214844002, 214844008, 186262013, 478646001, 453453032]"
141,186264016,"[214844002, 214844008, 186262013, 478646001, 453453032]"
142,186266004,"[214844002, 214844008, 186262013, 478646001, 453453032]"
143,186267001,"[214844002, 214844008, 186262013, 478646001, 453453032]"
144,186372011,"[186372011, 372008001, 372008010, 237222001, 299733001]"
145,186372042,"[186372042, 186372045, 299733007, 396135023, 396135041]"
146,186372045,"[186372042, 186372045, 299733007, 396135023, 396135041]"
147,186595001,"[186595001, 400901004, 400901005, 438702001, 446155003]"
148,187949016,"[187949016, 187949029, 187949020, 187949026, 187949031]"
149,187949019,"[187949019, 187949028, 187949030, 187949025, 187949032]"
150,187949020,"[187949020, 187949026, 187949031, 187949019, 187949028]"
151,187949025,"[187949025, 187949032, 187949019, 187949028, 187949030]"
152,187949026,"[187949020, 187949026, 187949031, 187949019, 187949028]"
153,187949028,"[187949019, 187949028, 187949030, 187949025, 187949032]"
154,187949029,"[187949016, 187949029, 187949020, 187949026, 187949031]"
155,187949030,"[187949019, 187949028, 187949030, 187949025, 187949032]"
156,187949031,"[187949020, 187949026, 187949031, 187949019, 187949028]"
157,187949032,"[187949025, 187949032, 187949019, 187949028, 187949030]"
158,188183001,"[188183020, 188183009, 188183008, 188183010, 453272053]"
159,188183008,"[188183008, 188183009, 188183010, 453272053, 453272051]"
160,188183009,"[188183009, 188183008, 188183010, 453272053, 453272051]"
161,188183010,"[188183010, 188183008, 188183009, 453272053, 453272037]"
162,188183012,"[188183009, 188183010, 188183008, 453272053, 453272051]"
163,188183014,"[188183008, 188183009, 188183010, 453272053, 453272051]"
164,188183015,"[188183020, 188183010, 188183008, 453272037, 188183009]"
165,188183016,"[188183020, 188183009, 188183008, 188183010, 453272053]"
166,188183018,"[188183020, 188183009, 188183008, 188183010, 453272053]"
167,188183020,"[188183020, 188183010, 453272051, 188183009, 188183008]"
168,188183021,"[188183020, 188183010, 188183008, 188183009, 453272053]"
169,188183022,"[188183020, 188183009, 188183008, 188183010, 453272053]"
170,188183023,"[188183020, 188183010, 453272051, 188183009, 188183008]"
171,189383001,"[189383001, 318951002, 318951019, 318951020, 244269020]"
172,189383014,"[189383001, 244269019, 404864012, 318951023, 318951024]"
173,189616001,"[189616001, 444325004, 477507006, 444325008, 477507002]"
174,189616006,"[189616006, 189616007, 189616008, 189616014, 189616015]"
175,189616007,"[189616006, 189616007, 189616008, 189616014, 189616015]"
176,189616008,"[189616006, 189616007, 189616008, 189616014, 189616015]"
177,189616009,"[189616009, 189616006, 189616007, 189616008, 189616014]"
178,189616014,"[189616006, 189616007, 189616008, 189616014, 189616015]"
179,189616015,"[189616006, 189616007, 189616008, 189616014, 189616015]"
180,189616016,"[189616006, 189616007, 189616008, 189616014, 189616015]"
181,189616028,"[189616028, 189616006, 189616007, 189616008, 189616014]"
182,189616032,"[189616006, 189616007, 189616008, 189616014, 189616015]"
183,189616038,"[189616038, 189616028, 189616006, 189616007, 189616008]"
184,189626001,"[189626001, 458925001, 458925002, 469137001, 469137011]"
185,189634001,"[189634001, 306307020, 203027047, 203027045, 306307002]"
186,189634031,"[189634031, 272591023, 238197030, 476583021, 306307005]"
187,189654001,"[189654001, 189654045, 189654047, 379780043, 189654046]"
188,189654045,"[189654045, 189654001, 189654047, 189654046, 379780040]"
189,189654046,"[189654046, 189654047, 379780024, 379780027, 379780039]"
190,189654047,"[189654047, 189654001, 189654045, 189654046, 379780048]"
191,189691033,"[189691033, 189691044, 464363016, 189691051, 189691067]"
192,189691044,"[189691044, 189691033, 189691075, 189691051, 464363016]"
193,189691051,"[189691051, 189691075, 189691033, 189691044, 189691063]"
194,189691063,"[189691063, 189691051, 464363015, 478426009, 189691075]"
195,189691067,"[189691067, 189691075, 189691033, 189691044, 189691051]"
196,189691075,"[189691075, 189691051, 189691044, 189691067, 189691033]"
197,189955076,"[189955076, 355307052, 355569004, 355569005, 355569011]"
198,190021001,"[190021001, 190021003, 190021021, 372860043, 179393001]"
199,190021003,"[190021003, 179393001, 190021001, 190021021, 372860043]"
200,190021021,"[190021021, 190021001, 190021003, 341186001, 372860043]"
201,190252020,"[190252020, 309434015, 309434007, 309434013, 309434009]"
202,192460006,"[192460006, 316657001, 316657008, 316657013, 316657010]"
203,192960023,"[192960023, 403844001, 403844007, 403844009, 362997001]"
204,194037001,"[194037001, 182909001, 305931001, 194037002, 373493008]"
205,194037002,"[194037002, 194037001, 182909001, 305931001, 373493009]"
206,194242047,"[194242047, 327368019, 306847011, 285143024, 306847007]"
207,194242048,"[194242048, 306847010, 306847008, 327368026, 225784037]"
208,194242049,"[194242049, 306847011, 306847007, 285143024, 194242047]"
209,194242050,"[194242050, 306847007, 194242049, 194242047, 327368019]"
210,194270002,"[194270002, 225784001, 225784043, 225784045, 225784039]"
211,194270044,"[194270044, 225784023, 225784044, 194270045, 225784039]"
212,194270045,"[194270045, 194270044, 225784039, 225784023, 225784044]"
213,194270046,"[194270046, 225784037, 194270044, 225784023, 306847010]"
214,194902033,"[194902033, 413911012, 413911001, 413911036, 311059018]"
215,198518010,"[198518010, 198518017, 198518023, 283937018, 433275019]"
216,198518017,"[198518017, 198518010, 198518023, 283937018, 433275019]"
217,198518020,"[198518020, 198518031, 283937019, 433275022, 305775031]"
218,198518023,"[198518023, 198518017, 198518010, 283937018, 433275019]"
219,198518031,"[198518031, 198518020, 283937019, 433275022, 305775031]"
220,198714001,"[198714001, 120129001, 120129014, 120129025, 120129018]"
221,198714006,"[198714006, 120129018, 198714001, 120129001, 120129014]"
222,199119038,"[277738011, 290519014, 354246021, 354246002, 254457039]"
223,200182001,"[160442007, 160442010, 228257001, 228257005, 228257003]"
224,200182002,"[160442007, 160442010, 228257001, 228257005, 228257003]"
225,200761022,"[200761022, 200761028, 413911018, 402065039, 326885037]"
226,200761028,"[200761028, 200761022, 413911018, 402065039, 326885037]"
227,200761029,"[200761029, 402065041, 402065043, 326885016, 326885002]"
228,201219001,"[342060001, 297078002, 201219013, 201219003, 297078001]"
229,201219003,"[201219003, 297078002, 342060001, 297078001, 201219013]"
230,201219011,"[342060001, 201219013, 201219003, 201219012, 201219017]"
231,201219012,"[201219012, 201219017, 201219011, 201219014, 201219016]"
232,201219013,"[201219013, 342060001, 297078002, 201219003, 297078001]"
233,201219014,"[342060001, 201219013, 201219003, 201219012, 201219017]"
234,201219016,"[201219013, 201219003, 342060001, 297078002, 297078001]"
235,201219017,"[201219017, 201219012, 201219011, 201219014, 201219016]"
236,202017055,"[202017055, 383569008, 379780038, 379780045, 379780043]"
237,203027045,"[203027045, 203027047, 306307002, 306307076, 238197034]"
238,203027047,"[203027047, 203027045, 306307076, 306307002, 238197034]"
239,203027048,"[238197034, 306307020, 189634001, 272591016, 445419015]"
240,203595034,"[203595034, 203595036, 203595040, 203595048, 203595058]"
241,203595036,"[203595036, 392269007, 443078004, 443078014, 416157028]"
242,203595040,"[203595036, 392269007, 443078004, 443078014, 416157028]"
243,203595048,"[203595048, 203595034, 203595040, 203595036, 203595058]"
244,203595058,"[203595036, 392269007, 443078004, 451380001, 451380026]"
245,204892024,"[204892024, 204892029, 204892032, 424470005, 424470006]"
246,204892029,"[204892024, 204892029, 204892032, 424470005, 424470006]"
247,204892032,"[204892032, 204892024, 204892029, 424470005, 424470006]"
248,205225001,"[205225001, 485542031, 485542017, 485542016, 485542030]"
249,211143021,"[211143021, 211143023, 211143037, 211143040, 211143022]"
250,211143022,"[211143022, 211143037, 211143040, 211143023, 211143021]"
251,211143023,"[211143023, 211143021, 211143037, 211143040, 211143022]"
252,211143036,"[211143036, 486639012, 486639013, 389479007, 486639003]"
253,211143037,"[211143037, 211143040, 211143022, 211143023, 211143021]"
254,211143040,"[211143040, 211143037, 211143022, 211143023, 211143021]"
255,212042036,"[212042036, 212042070, 478022003, 453831003, 478022001]"
256,212042070,"[212042070, 212042036, 453831003, 478022001, 478022003]"
257,212629031,"[212629031, 355072045, 212629032, 212629048, 212629035]"
258,212629032,"[212629032, 212629048, 212629035, 212629049, 355072004]"
259,212629033,"[212629033, 212629051, 212629050, 484406007, 212629036]"
260,212629035,"[212629035, 212629032, 212629048, 212629049, 355072031]"
261,212629036,"[212629036, 212629047, 212629033, 212629051, 212629050]"
262,212629040,"[212629049, 212629035, 212629032, 212629048, 355072004]"
263,212629043,"[212629035, 212629032, 212629048, 212629049, 355072031]"
264,212629047,"[212629036, 212629047, 212629033, 212629051, 212629050]"
265,212629048,"[212629032, 212629048, 212629035, 212629049, 355072004]"
266,212629049,"[212629049, 212629040, 212629035, 212629043, 212629036]"
267,212629050,"[212629050, 212629033, 212629051, 212629036, 212629047]"
268,212629051,"[212629033, 212629051, 212629050, 484406007, 212629036]"
269,212766041,"[212766045, 212766042, 458428033, 458428037, 474461037]"
270,212766042,"[212766042, 212766045, 458428033, 458428037, 458428044]"
271,212766043,"[212766045, 212766042, 458428033, 458428037, 474461014]"
272,212766045,"[212766045, 212766042, 458428033, 458428037, 474461037]"
273,212766046,"[212766042, 458428044, 212766045, 458428037, 474461037]"
274,213690001,"[213690001, 213691001, 213691080, 437582002, 453741002]"
275,213691001,"[213691001, 213690001, 213691080, 437582002, 453741002]"
276,213691073,"[213691001, 213690001, 213691080, 437582002, 453741002]"
277,213691075,"[213691080, 213691001, 213690001, 478943003, 341917002]"
278,213691080,"[213691080, 213691001, 213690001, 437582002, 453741002]"
279,213691083,"[213691001, 213690001, 213691080, 437582002, 453741002]"
280,214844001,"[214844002, 214844008, 186262013, 478646001, 453453032]"
281,214844002,"[214844002, 214844008, 186262013, 478646001, 453453032]"
282,214844003,"[214844002, 186262013, 214844008, 478646001, 453453032]"
283,214844004,"[214844008, 214844002, 186262013, 478646001, 453453032]"
284,214844008,"[214844008, 214844002, 186262013, 478646001, 453453032]"
285,215248002,"[215248002, 264984001, 218354001, 218354045, 218354020]"
286,215303001,"[215303001, 220365001, 215303002, 215303005, 472844004]"
287,215303002,"[215303002, 215303005, 472844004, 438147002, 215303001]"
288,215303005,"[215303002, 215303005, 472844004, 438147002, 215303001]"
289,215337001,"[215337001, 215337003, 316085001, 316085002, 316085013]"
290,215337003,"[215337003, 215337001, 316085001, 375849011, 316085002]"
291,215337038,"[215337038, 215337066, 215337067, 375849019, 375849026]"
292,215337039,"[215337039, 215337001, 215337003, 316085002, 316085013]"
293,215337059,"[316085002, 215337001, 215337003, 215337039, 316085001]"
294,215337066,"[215337066, 215337038, 215337067, 458924013, 375849019]"
295,215337067,"[215337067, 215337038, 215337066, 375849019, 316085013]"
296,215589001,"[215589001, 362219002, 341129001, 215589002, 362219001]"
297,215589002,"[215589002, 215589001, 362219002, 341129001, 362219001]"
298,216081011,"[216081011, 255396007, 255396010, 255396023, 485973003]"
299,217207045,"[217207045, 310091018, 310091041, 427114019, 247072018]"
300,217207046,"[217207047, 217207055, 310091034, 386399011, 310091014]"
301,217207047,"[217207047, 217207055, 310091034, 386399011, 310091014]"
302,217207048,"[217207045, 310091018, 310091041, 427114019, 247072018]"
303,217207055,"[247072031, 247072020, 310091014, 386399011, 427114020]"
304,217727002,"[217727018, 217727003, 480076008, 251510001, 408575003]"
305,217727003,"[217727003, 217727018, 480076008, 251510001, 408575003]"
306,217727018,"[217727018, 217727003, 480076008, 251510001, 408575003]"
307,218354001,"[218354001, 264984001, 218354045, 218354020, 215248002]"
308,218354020,"[218354020, 218354001, 218354047, 218354045, 264984001]"
309,218354045,"[218354045, 218354001, 264984001, 218354020, 218354047]"
310,218354047,"[218354047, 218354020, 218354001, 218354045, 264984001]"
311,218829002,"[218829002, 218829015, 224314007, 224314013, 224314018]"
312,218829014,"[218829014, 218829002, 218829015, 224314011, 224314007]"
313,218829015,"[218829015, 218829002, 224314018, 224314007, 224314013]"
314,219075014,"[219075028, 416157025, 416157019, 416157003, 416157013]"
315,219075017,"[219075028, 451402002, 416157013, 416157025, 416157019]"
316,219075021,"[219075028, 416157003, 416157025, 416157019, 416157013]"
317,219075023,"[219075028, 451402002, 416157013, 416157025, 416157019]"
318,219075028,"[219075028, 416157013, 416157025, 416157019, 451402002]"
319,220094001,"[220094001, 220094016, 220094018, 220094010, 220094015]"
320,220094010,"[220094010, 220094016, 220094018, 220094001, 220094015]"
321,220094011,"[220094011, 220094019, 220094020, 355072009, 212629032]"
322,220094015,"[220094015, 220094016, 220094018, 220094001, 220094010]"
323,220094016,"[220094016, 220094001, 220094018, 220094010, 220094015]"
324,220094018,"[220094018, 220094016, 220094001, 220094010, 220094015]"
325,220094019,"[220094019, 220094011, 220094020, 355072009, 212629032]"
326,220094020,"[220094020, 220094011, 220094019, 220094021, 212629040]"
327,220094021,"[220094021, 220094001, 220094016, 220094010, 220094018]"
328,220365001,"[220365001, 215303001, 357792007, 369796024, 472844004]"
329,220365002,"[220365002, 481347007, 481347003, 481347006, 220365004]"
330,220365004,"[220365004, 220365002, 481347007, 481347006, 481347003]"
331,220365007,"[220365007, 357792007, 220365001, 369796023, 472844004]"
332,224314007,"[224314007, 224314013, 224314018, 224314016, 224314017]"
333,224314011,"[224314011, 224314013, 224314007, 224314016, 224314018]"
334,224314013,"[224314013, 224314016, 224314007, 224314018, 224314011]"
335,224314016,"[224314016, 224314013, 224314007, 224314018, 224314017]"
336,224314017,"[224314017, 224314018, 224314007, 224314016, 224314013]"
337,224314018,"[224314018, 224314007, 224314013, 224314017, 224314016]"
338,224337001,"[224337001, 224337008, 218829002, 218829015, 224314007]"
339,224337008,"[224337008, 224337001, 218829002, 218829015, 224314017]"
340,224521001,"[224521001, 224521007, 457491002, 466891001, 466891002]"
341,224521007,"[224521007, 224521001, 457491002, 466891001, 466891002]"
342,224606019,"[224606019, 224606022, 224606031, 224606025, 349301001]"
343,224606022,"[224606022, 224606031, 224606019, 224606025, 349301025]"
344,224606025,"[224606022, 349301048, 356693020, 349301024, 349301001]"
345,224606031,"[224606022, 224606031, 224606019, 224606025, 349301025]"
346,225286014,"[225286014, 401902008, 387426012, 401902007, 401902013]"
347,225784001,"[225784001, 194270002, 225784043, 225784045, 225784039]"
348,225784023,"[225784023, 194270044, 225784044, 225784039, 225784037]"
349,225784037,"[225784037, 194270046, 225784044, 225784023, 194270044]"
350,225784039,"[225784039, 225784001, 225784023, 194270002, 194270044]"
351,225784040,"[225784040, 225784045, 225784043, 225784001, 194270002]"
352,225784043,"[225784043, 225784001, 194270002, 225784045, 225784040]"
353,225784044,"[225784044, 194270044, 225784023, 225784037, 225784039]"
354,225784045,"[225784045, 225784040, 225784043, 225784001, 194270002]"
355,226011008,"[296375018, 342840001, 292453025, 378719001, 292453013]"
356,226959007,"[226959007, 226959008, 226959009, 483093001, 436083001]"
357,226959008,"[226959008, 226959007, 226959009, 483093001, 436083001]"
358,226959009,"[226959009, 226959008, 226959007, 372860002, 372860001]"
359,228257001,"[228257001, 228257005, 228257003, 111565003, 228257004]"
360,228257002,"[228257003, 111565003, 228257004, 228257005, 228257001]"
361,228257003,"[228257003, 111565003, 228257004, 228257005, 228257001]"
362,228257004,"[228257004, 228257003, 111565003, 228257005, 228257001]"
363,228257005,"[228257005, 228257001, 228257003, 111565003, 228257004]"
364,228257008,"[228257004, 228257003, 228257005, 111565003, 228257001]"
365,233091003,"[233091015, 233091022, 478022001, 481147001, 453831003]"
366,233091015,"[233091015, 233091022, 478022001, 453831003, 481147001]"
367,233091016,"[233091022, 233091015, 478022001, 453831003, 481147001]"
368,233091019,"[233091022, 233091015, 478022001, 453831003, 481147001]"
369,233091020,"[233091015, 233091022, 478022001, 481147001, 453831003]"
370,233091021,"[233091015, 233091022, 478022001, 481147001, 453831003]"
371,233091022,"[233091022, 233091015, 478022001, 453831003, 481147001]"
372,233672016,"[233672016, 362931025, 302311026, 362931027, 483290004]"
373,234187001,"[234187001, 463117006, 425978003, 358383021, 480812001]"
374,234187030,"[234187030, 299768001, 402595001, 299768002, 315497012]"
375,234421001,"[215589001, 362219002, 341129001, 215589002, 362219001]"
376,234421002,"[362219001, 234421004, 215589001, 362219002, 341129001]"
377,234421004,"[234421004, 215589001, 362219002, 341129001, 215589002]"
378,234432001,"[251510001, 480076008, 217727003, 217727018, 480076005]"
379,234432002,"[251510001, 217727018, 480076008, 217727003, 408575003]"
380,234622003,"[234622003, 465619010, 465619013, 465619005, 234622007]"
381,234622004,"[234622004, 234622007, 465619011, 465619012, 234622003]"
382,234622007,"[234622007, 234622004, 465619011, 465619012, 234622003]"
383,235596002,"[478646001, 186262013, 214844002, 214844008, 386463006]"
384,235732024,"[235732024, 235732026, 235732029, 395575002, 395575001]"
385,235732026,"[235732026, 235732024, 235732029, 395575002, 395575001]"
386,235732029,"[235732029, 395575002, 395575001, 235732024, 235732026]"
387,237032003,"[237032003, 413707019, 413707020, 413707023, 413707031]"
388,237222001,"[237222001, 237222012, 299733001, 372008001, 372008010]"
389,237222012,"[237222012, 237222001, 372008010, 299733001, 372008001]"
390,237222016,"[237222016, 299733007, 299733001, 458925009, 189616009]"
391,237347004,"[237347004, 237347045, 237347069, 237347027, 237347043]"
392,237347011,"[237347011, 237347060, 237347055, 237347027, 237347039]"
393,237347017,"[237347017, 237347044, 237347024, 237347037, 237347040]"
394,237347022,"[237347022, 237347063, 237347036, 237347059, 237347028]"
395,237347024,"[237347024, 237347040, 237347037, 237347035, 237347017]"
396,237347025,"[237347025, 237347036, 237347031, 237347022, 237347028]"
397,237347027,"[237347027, 237347039, 237347055, 237347011, 237347060]"
398,237347028,"[237347028, 237347059, 237347040, 237347024, 237347036]"
399,237347031,"[237347031, 237347052, 237347043, 237347027, 237347039]"
400,237347035,"[237347035, 237347037, 237347040, 237347024, 237347059]"
401,237347036,"[237347036, 237347063, 237347022, 237347028, 237347024]"
402,237347037,"[237347037, 237347040, 237347024, 237347035, 237347017]"
403,237347039,"[237347039, 237347027, 237347011, 237347060, 237347055]"
404,237347040,"[237347040, 237347024, 237347037, 237347035, 237347028]"
405,237347043,"[237347043, 237347039, 237347027, 237347004, 237347011]"
406,237347044,"[237347044, 237347017, 237347035, 237347024, 237347059]"
407,237347045,"[237347045, 237347069, 237347004, 237347027, 237347011]"
408,237347052,"[237347052, 237347031, 237347004, 237347043, 237347045]"
409,237347053,"[237347053, 237347039, 237347045, 237347069, 237347004]"
410,237347055,"[237347055, 237347011, 237347060, 237347027, 237347039]"
